From     to
ADGRA2   GP124_HUMAN
GPR132   GP132_HUMAN
GPR135   GP135_HUMAN
ADGRG6   GP126_HUMAN
GPR141   GP141_HUMAN
GPR142   GP142_HUMAN
GPR143   GP143_HUMAN
GPR146   GP146_HUMAN
GPR139   GP139_HUMAN
GPR149   GP149_HUMAN
GPR150   GP150_HUMAN
GPR152   GP152_HUMAN
GPR153   GP153_HUMAN
GPR157   GP157_HUMAN
GPR156   GP156_HUMAN
GPR158   GP158_HUMAN
GPR161   GP161_HUMAN
GPR171   GP171_HUMAN
GPR173   GP173_HUMAN
GPR162   GP162_HUMAN
GPR179   GP179_HUMAN
GPR176   GP176_HUMAN
GPR183   GP183_HUMAN
GPR182   GP182_HUMAN
GPRC5C   GPC5C_HUMAN
GPRC5D   GPC5D_HUMAN
GPRC5B   GPC5B_HUMAN
GPR89A   GPHRA_HUMAN
GPR89B   GPHRB_HUMAN
GPR12    GPR12_HUMAN
GPR15    GPR15_HUMAN
GPR17    GPR17_HUMAN
GPR18    GPR18_HUMAN
GPR19    GPR19_HUMAN
GPR20    GPR20_HUMAN
GPR1     GPR1_HUMAN
GPR21    GPR21_HUMAN
GPR22    GPR22_HUMAN
GPR27    GPR27_HUMAN
GPR25    GPR25_HUMAN
GPR33    GPR33_HUMAN
GPR32    GPR32_HUMAN
GPR34    GPR34_HUMAN
GPR26    GPR26_HUMAN
GPR35    GPR35_HUMAN
GPR37    GPR37_HUMAN
GPR31    GPR31_HUMAN
GPR3     GPR3_HUMAN
GPR39    GPR39_HUMAN
GPR42    GPR42_HUMAN
GPR4     GPR4_HUMAN
GPR52    GPR52_HUMAN
GPR45    GPR45_HUMAN
ADGRG1   GPR56_HUMAN
GPR55    GPR55_HUMAN
GPR61    GPR61_HUMAN
GPR6     GPR6_HUMAN
GPR78    GPR78_HUMAN
GPR75    GPR75_HUMAN
GPR82    GPR82_HUMAN
GPR83    GPR83_HUMAN
GPR84    GPR84_HUMAN
GPR85    GPR85_HUMAN
GPR88    GPR88_HUMAN
GPR87    GPR87_HUMAN
GPR63    GPR63_HUMAN
ADGRV1   GPR98_HUMAN
GRK4     GRK4_HUMAN
GRK5     GRK5_HUMAN
GRK6     GRK6_HUMAN
GRK7     GRK7_HUMAN
GRM1     GRM1_HUMAN
GRM2     GRM2_HUMAN
GRM3     GRM3_HUMAN
GRM4     GRM4_HUMAN
GRM5     GRM5_HUMAN
GRM6     GRM6_HUMAN
GRM8     GRM8_HUMAN
GRM7     GRM7_HUMAN
GRPR     GRPR_HUMAN
HCAR1    HCAR1_HUMAN
HCAR3    HCAR3_HUMAN
HCAR2    HCAR2_HUMAN
HRH1     HRH1_HUMAN
HRH2     HRH2_HUMAN
INSL5    INSL5_HUMAN
PRKAR1A  KAP0_HUMAN
KISS1R   KISSR_HUMAN
LGR4     LGR4_HUMAN
LGR5     LGR5_HUMAN
LGR6     LGR6_HUMAN
LPAR1    LPAR1_HUMAN
LPAR4    LPAR4_HUMAN
LPAR2    LPAR2_HUMAN
LPAR5    LPAR5_HUMAN
LPAR3    LPAR3_HUMAN
LPAR6    LPAR6_HUMAN
ADGRL3   LPHN3_HUMAN
LHCGR    LSHR_HUMAN
LTB4R    LT4R1_HUMAN
LTB4R2   LT4R2_HUMAN
MAS1L    MAS1L_HUMAN
MAS1     MAS_HUMAN
MC3R     MC3R_HUMAN
MC4R     MC4R_HUMAN
MC5R     MC5R_HUMAN
MCHR1    MCHR1_HUMAN
MCHR2    MCHR2_HUMAN
MRGPRD   MRGRD_HUMAN
MRGPRF   MRGRF_HUMAN
MRGPRG   MRGRG_HUMAN
MRGPRX1  MRGX1_HUMAN
MRGPRX2  MRGX2_HUMAN
MRGPRX4  MRGX4_HUMAN
MRGPRX3  MRGX3_HUMAN
MC1R     MSHR_HUMAN
MLNR     MTLR_HUMAN
MTNR1A   MTR1A_HUMAN
GPR50    MTR1L_HUMAN
MTNR1B   MTR1B_HUMAN
TACR1    NK1R_HUMAN
TACR2    NK2R_HUMAN
TACR3    NK3R_HUMAN
NMBR     NMBR_HUMAN
NMUR1    NMUR1_HUMAN
NMUR2    NMUR2_HUMAN
NPBWR1   NPBW1_HUMAN
NPBWR2   NPBW2_HUMAN
NPFFR1   NPFF1_HUMAN
NPFFR2   NPFF2_HUMAN
NPSR1    NPSR1_HUMAN
NPY1R    NPY1R_HUMAN
NPY2R    NPY2R_HUMAN
NPY4R    NPY4R_HUMAN
NPY5R    NPY5R_HUMAN
NPY6R    NPY6R_HUMAN
NTSR1    NTR1_HUMAN
NTSR2    NTR2_HUMAN
OR10D4P  O10D4_HUMAN
OR10J6P  O10J6_HUMAN
OR14L1P  O14L1_HUMAN
OR52P1P  O52P1_HUMAN
OR56B2P  O56B2_HUMAN
OR5AK3P  O5AK3_HUMAN
ODR4     ODR4_HUMAN
GPR68    OGR1_HUMAN
OPN4     OPN4_HUMAN
OPN3     OPN3_HUMAN
OPN5     OPN5_HUMAN
OPRD1    OPRD_HUMAN
OPRK1    OPRK_HUMAN
OPRM1    OPRM_HUMAN
OPRL1    OPRX_HUMAN
OPN1SW   OPSB_HUMAN
RHO      OPSD_HUMAN
OPN1MW   OPSG_HUMAN
OPN1LW   OPSR_HUMAN
RRH      OPSX_HUMAN
OR1F2P   OR1F2_HUMAN
OR2B8P   OR2B8_HUMAN
OR2I1P   OR2I1_HUMAN
OR2W5    OR2W5_HUMAN
OR7A2P   OR7A2_HUMAN
OR9A1P   OR9A1_HUMAN
HCRTR1   OX1R_HUMAN
HCRTR2   OX2R_HUMAN
OXER1    OXER1_HUMAN
OXTR     OXYR_HUMAN
P2RY1    P2RY1_HUMAN
P2RY2    P2RY2_HUMAN
P2RY4    P2RY4_HUMAN
P2RY6    P2RY6_HUMAN
P2RY8    P2RY8_HUMAN
P2RY11   P2Y11_HUMAN
P2RY10   P2Y10_HUMAN
P2RY13   P2Y13_HUMAN
